position;restaurants;ratings;number_reviews;price_category;food_category
1;Luxalad;5.0;141;€;Comida rápida,Europea,Saludable,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
2;Trattoria Mamma Franca;5.0;361;€€ - €€€;Italiana,Pizza,Mediterránea,Europea,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
3;La Alacena de Francis;5.0;328;€€ - €€€;Mediterránea,Europea,Española,Rusa,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
4;La Barra de Zapata;5.0;517;€€ - €€€;Internacional,Mediterránea,Europea,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
5;Café Tramezzino;5.0;139;€;Café,Europea,Saludable,Opciones vegetarianas,Opciones veganas
6;Marisquería La Mayor;5.0;164;€€ - €€€;Marisco,Mediterránea,Española,Opciones vegetarianas,Opciones sin gluten
7;Byoko;5.0;286;€€ - €€€;Francesa,Café,Mediterránea,Española,Saludable,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
8;Kortxo;5.0;425;€€ - €€€;Española,Internacional,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
9;Da Saveria comida italiana casera;4.5;634;€;Italiana,Mediterránea,Europea,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
10;Spago's - Fresh Pasta;5.0;338;€;Italiana,Comida rápida,Mediterránea,Europea,Opciones vegetarianas,Opciones veganas
11;Brutus;4.5;204;€€ - €€€;Americana,Latina,Pizza,Saludable,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
12;Mura Mura Osteria Cafe;4.5;710;€€ - €€€;Italiana,Fusión,Mediterránea,Europea,Tienda gourmet,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
13;Restaurante Cávea;5.0;123;€€ - €€€;Española,Fusión,Mediterránea,Europea,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
14;La Luz de Candela;4.5;808;€€ - €€€;Francesa,Mediterránea,Europea,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
15;La Récréation;4.5;272;€€ - €€€;Francesa,Mediterránea,Fusión,Pub restaurante,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
16;La Tranca;4.5;826;€;Bar,Mediterránea,Española,Opciones vegetarianas
